,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
607,607,pajarito,pajarito,sing,2,default,0.0005840419908054,plural,plural,son,s,[MASK] pajarito [MASK],"[CLS] , [MASK] , pajari , ##to , [MASK] , [SEP]",non_morphemic,7.445537675656806,2.5110473892993133,-2.5110473892993377
609,609,pajarito,pajaritos,plur,2,default,0.0104289883747696,plural,plural,son,s,[MASK] pajaritos [MASK],"[CLS] , [MASK] , pajari , ##tos , [MASK] , [SEP]",non_morphemic,4.563166006545985,-2.117514173917611,2.117514173917649
611,611,pajarito,pajarito##s,plur,3,artificial,0.0100690955296158,plural,plural,son,s,[MASK] pajarito##s [MASK],"[CLS] , [MASK] , pajari , ##to , ##s , [MASK] , [SEP]",non_morphemic,4.5982843945958125,-1.6098241691338249,1.6098241691338386
613,613,pelotari,pelotari,sing,2,default,0.0007353749824687,plural,plural,son,s,[MASK] pelotari [MASK],"[CLS] , [MASK] , pelota , ##ri , [MASK] , [SEP]",non_morphemic,7.215130008619486,3.14117381314324,-3.1411738131433524
615,615,pelotari,pelotaris,plur,2,default,0.0126861715689301,plural,plural,son,s,[MASK] pelotaris [MASK],"[CLS] , [MASK] , pelota , ##ris , [MASK] , [SEP]",non_morphemic,4.367242731588657,-1.238152012476684,1.2381520124766905
617,617,pelotari,pelotari##s,plur,3,artificial,0.0076114158146083,plural,plural,son,s,[MASK] pelotari##s [MASK],"[CLS] , [MASK] , pelota , ##ri , ##s , [MASK] , [SEP]",non_morphemic,4.878106077815386,-0.38907480421243257,0.3890748042124456
619,619,vecinita,vecinita,sing,2,default,0.000108936917968,plural,plural,son,s,[MASK] vecinita [MASK],"[CLS] , [MASK] , vecin , ##ita , [MASK] , [SEP]",non_morphemic,9.124741577504096,3.553207894963812,-3.553207894964678
621,621,vecinita,vecinitas,plur,2,default,0.0071268994361162,plural,plural,son,s,[MASK] vecinitas [MASK],"[CLS] , [MASK] , vecin , ##itas , [MASK] , [SEP]",non_morphemic,4.94387900083048,-2.3972110447700548,2.3972110447700756
623,623,vecinita,vecinita##s,plur,3,artificial,0.0060872645117342,plural,plural,son,s,[MASK] vecinita##s [MASK],"[CLS] , [MASK] , vecin , ##ita , ##s , [MASK] , [SEP]",non_morphemic,5.101556475225696,-2.008273176367962,2.008273176367981
625,625,banquero,banquero,sing,2,default,0.0003936845459975,plural,plural,son,s,[MASK] banquero [MASK],"[CLS] , [MASK] , ban , ##quero , [MASK] , [SEP]",non_morphemic,7.839960614029791,3.008754714649366,-3.008754714649436
627,627,banquero,banqueros,plur,2,default,0.029782211408019,plural,plural,son,s,[MASK] banqueros [MASK],"[CLS] , [MASK] , ban , ##queros , [MASK] , [SEP]",non_morphemic,3.513843996322796,-3.3907466080637945,3.390746608063825
629,629,banquero,banquero##s,plur,3,artificial,0.0176881253719329,plural,plural,son,s,[MASK] banquero##s [MASK],"[CLS] , [MASK] , ban , ##quero , ##s , [MASK] , [SEP]",non_morphemic,4.034861747486656,-2.8352743603277526,2.835274360327828
631,631,bandido,bandido,sing,2,default,0.0003020022704731,plural,plural,son,s,[MASK] bandido [MASK],"[CLS] , [MASK] , ban , ##dido , [MASK] , [SEP]",non_morphemic,8.105076022494595,2.8902458377649456,-2.8902458377651628
633,633,bandido,bandidos,plur,2,default,0.0111907282844185,plural,plural,son,s,[MASK] bandidos [MASK],"[CLS] , [MASK] , ban , ##didos , [MASK] , [SEP]",non_morphemic,4.492669675271354,-2.3202185407024176,2.320218540702471
635,635,bandido,bandido##s,plur,3,artificial,0.015234911814332,plural,plural,son,s,[MASK] bandido##s [MASK],"[CLS] , [MASK] , ban , ##dido , ##s , [MASK] , [SEP]",non_morphemic,4.18416565492144,-2.0019402591527955,2.0019402591528026
637,637,chequeo,chequeo,sing,2,default,0.0005669514066539,plural,plural,son,s,[MASK] chequeo [MASK],"[CLS] , [MASK] , cheque , ##o , [MASK] , [SEP]",non_morphemic,7.475236960459512,1.8546504453636876,-1.854650445363804
639,639,chequeo,chequeos,plur,2,default,0.0058220773935317,plural,plural,son,s,[MASK] chequeos [MASK],"[CLS] , [MASK] , cheque , ##os , [MASK] , [SEP]",non_morphemic,5.146098140457504,-1.950293094915633,1.9502930949156285
641,641,chequeo,chequeo##s,plur,3,artificial,0.003723241854459,plural,plural,son,s,[MASK] chequeo##s [MASK],"[CLS] , [MASK] , cheque , ##o , ##s , [MASK] , [SEP]",non_morphemic,5.593160523950896,-1.4933852960035683,1.493385296003565
643,643,rebaja,rebaja,sing,2,default,0.0010759102879092,plural,plural,son,s,[MASK] rebaja [MASK],"[CLS] , [MASK] , reba , ##ja , [MASK] , [SEP]",non_morphemic,6.83458819626754,2.2500668147263445,-2.25006681472635
645,645,rebaja,rebajas,plur,2,default,0.0113623943179845,plural,plural,son,s,[MASK] rebajas [MASK],"[CLS] , [MASK] , reba , ##jas , [MASK] , [SEP]",non_morphemic,4.477446120469246,-1.9355807419075202,1.9355807419075615
647,647,rebaja,rebaja##s,plur,3,artificial,0.0082216756418347,plural,plural,son,s,[MASK] rebaja##s [MASK],"[CLS] , [MASK] , reba , ##ja , ##s , [MASK] , [SEP]",non_morphemic,4.800981241316886,-1.9955939357562524,1.9955939357563164
649,649,dogma,dogma,sing,2,default,0.0014704599743708,plural,plural,son,s,[MASK] dogma [MASK],"[CLS] , [MASK] , dog , ##ma , [MASK] , [SEP]",non_morphemic,6.522180019401604,3.899652547721711,-3.899652547721775
651,651,dogma,dogmas,plur,2,default,0.0382915437221527,plural,plural,son,s,[MASK] dogmas [MASK],"[CLS] , [MASK] , dog , ##mas , [MASK] , [SEP]",non_morphemic,3.262526197717673,-2.782008157759234,2.7820081577592743
653,653,dogma,dogma##s,plur,3,artificial,0.0178179368376731,plural,plural,son,s,[MASK] dogma##s [MASK],"[CLS] , [MASK] , dog , ##ma , ##s , [MASK] , [SEP]",non_morphemic,4.027549641550604,-1.6448231396180066,1.644823139618031
655,655,mendigo,mendigo,sing,2,default,0.0004256318206898,plural,plural,son,s,[MASK] mendigo [MASK],"[CLS] , [MASK] , mendi , ##go , [MASK] , [SEP]",non_morphemic,7.761935856073158,2.6830314545780363,-2.6830314545782254
657,657,mendigo,mendigos,plur,2,default,0.0115350410342216,plural,plural,son,s,[MASK] mendigos [MASK],"[CLS] , [MASK] , mendi , ##gos , [MASK] , [SEP]",non_morphemic,4.462365829996328,-1.798353137049899,1.7983531370499166
659,659,mendigo,mendigo##s,plur,3,artificial,0.010306560434401,plural,plural,son,s,[MASK] mendigo##s [MASK],"[CLS] , [MASK] , mendi , ##go , ##s , [MASK] , [SEP]",non_morphemic,4.574974651125053,-1.4541311047778995,1.454131104777909
661,661,pleito,pleito,sing,2,default,0.0007706630276516,plural,plural,son,s,[MASK] pleito [MASK],"[CLS] , [MASK] , ple , ##ito , [MASK] , [SEP]",non_morphemic,7.1682593387566165,2.707790356526358,-2.7077903565263686
663,663,pleito,pleitos,plur,2,default,0.0066751018166542,plural,plural,son,s,[MASK] pleitos [MASK],"[CLS] , [MASK] , ple , ##itos , [MASK] , [SEP]",non_morphemic,5.009370821380815,-2.032106891780308,2.03210689178032
665,665,pleito,pleito##s,plur,3,artificial,0.0079406052827835,plural,plural,son,s,[MASK] pleito##s [MASK],"[CLS] , [MASK] , ple , ##ito , ##s , [MASK] , [SEP]",non_morphemic,4.835765774540008,-2.176210851026184,2.1762108510262763
667,667,agobio,agobio,sing,2,default,0.0006804690347053,plural,plural,son,s,[MASK] agobio [MASK],"[CLS] , [MASK] , ago , ##bio , [MASK] , [SEP]",non_morphemic,7.29272824064752,1.8610215688532152,-1.8610215688532303
669,669,agobio,agobios,plur,2,default,0.004219677299261,plural,plural,son,s,[MASK] agobios [MASK],"[CLS] , [MASK] , ago , ##bios , [MASK] , [SEP]",non_morphemic,5.467996623227557,-1.898921547310393,1.89892154731048
671,671,agobio,agobio##s,plur,3,artificial,0.0043815751560032,plural,plural,son,s,[MASK] agobio##s [MASK],"[CLS] , [MASK] , ago , ##bio , ##s , [MASK] , [SEP]",non_morphemic,5.430346994584958,-1.7186704053164217,1.7186704053164865
673,673,atacante,atacante,sing,2,default,0.0002393960894551,plural,plural,son,s,[MASK] atacante [MASK],"[CLS] , [MASK] , atacan , ##te , [MASK] , [SEP]",non_morphemic,8.33739109974778,2.697453052097285,-2.697453052097319
675,675,atacante,atacantes,plur,2,default,0.0050299209542572,plural,plural,son,s,[MASK] atacantes [MASK],"[CLS] , [MASK] , atacan , ##tes , [MASK] , [SEP]",non_morphemic,5.292351009853363,-2.712760508748799,2.712760508749053
677,677,atacante,atacante##s,plur,3,artificial,0.0073812552727758,plural,plural,son,s,[MASK] atacante##s [MASK],"[CLS] , [MASK] , atacan , ##te , ##s , [MASK] , [SEP]",non_morphemic,4.9088115636715735,-2.053535878852415,2.0535358788524327
679,679,ligamento,ligamento,sing,2,default,0.0002592498785816,plural,plural,son,s,[MASK] ligamento [MASK],"[CLS] , [MASK] , liga , ##mento , [MASK] , [SEP]",non_morphemic,8.257718179199536,3.1031155657739555,-3.103115565774
681,681,ligamento,ligamentos,plur,2,default,0.0060279951430857,plural,plural,son,s,[MASK] ligamentos [MASK],"[CLS] , [MASK] , liga , ##mentos , [MASK] , [SEP]",non_morphemic,5.1113408039438735,-0.7064614349440603,0.7064614349440697
683,683,ligamento,ligamento##s,plur,3,artificial,0.0023685116320848,plural,plural,son,s,[MASK] ligamento##s [MASK],"[CLS] , [MASK] , liga , ##mento , ##s , [MASK] , [SEP]",non_morphemic,6.04549352445152,-0.3358865448598003,0.33588654485982905
685,685,grada,grada,sing,2,default,0.000398889533244,plural,plural,son,s,[MASK] grada [MASK],"[CLS] , [MASK] , grad , ##a , [MASK] , [SEP]",non_morphemic,7.826826038444359,3.206409932903523,-3.206409932903702
687,687,grada,gradas,plur,2,default,0.0058358889073133,plural,plural,son,s,[MASK] gradas [MASK],"[CLS] , [MASK] , grad , ##as , [MASK] , [SEP]",non_morphemic,5.143728684261288,-1.032800555920888,1.0328005559209232
689,689,grada,grada##s,plur,3,artificial,0.0042195389978587,plural,plural,son,s,[MASK] grada##s [MASK],"[CLS] , [MASK] , grad , ##a , ##s , [MASK] , [SEP]",non_morphemic,5.468029399115145,0.7646065403098241,-0.7646065403098309
691,691,rizo,rizo,sing,2,default,0.0007707609911449,plural,plural,son,s,[MASK] rizo [MASK],"[CLS] , [MASK] , ri , ##zo , [MASK] , [SEP]",non_morphemic,7.168132230975429,2.6722144306924136,-2.6722144306924465
693,693,rizo,rizos,plur,2,default,0.030259508639574,plural,plural,son,s,[MASK] rizos [MASK],"[CLS] , [MASK] , ri , ##zos , [MASK] , [SEP]",non_morphemic,3.497944808705712,-2.1176915102177083,2.117691510217706
695,695,rizo,rizo##s,plur,3,artificial,0.0122109372168779,plural,plural,son,s,[MASK] rizo##s [MASK],"[CLS] , [MASK] , ri , ##zo , ##s , [MASK] , [SEP]",non_morphemic,4.405423235666218,-1.370386203631421,1.3703862036314298
697,697,mercader,mercader,sing,2,default,0.0003271077002864,plural,plural,son,es,[MASK] mercader [MASK],"[CLS] , [MASK] , merca , ##der , [MASK] , [SEP]",non_morphemic,8.025221082619575,2.786293507208234,-2.7862935072083257
699,699,mercader,mercaderes,plur,2,default,0.0254752803593873,plural,plural,son,es,[MASK] mercaderes [MASK],"[CLS] , [MASK] , merca , ##deres , [MASK] , [SEP]",non_morphemic,3.67004669465864,-2.3948654707702044,2.3948654707702284
701,701,mercader,mercader##es,plur,3,artificial,0.0107913743704557,plural,plural,son,es,[MASK] mercader##es [MASK],"[CLS] , [MASK] , merca , ##der , ##es , [MASK] , [SEP]",non_morphemic,4.529008133360534,-2.1538223731712307,2.1538223731712707
703,703,portería,portería,sing,2,default,0.0006083095795474,plural,plural,son,s,[MASK] portería [MASK],"[CLS] , [MASK] , porte , ##ría , [MASK] , [SEP]",non_morphemic,7.404826628697346,2.4052472833767826,-2.4052472833769376
705,705,portería,porterías,plur,2,default,0.0088081080466508,plural,plural,son,s,[MASK] porterías [MASK],"[CLS] , [MASK] , porte , ##rías , [MASK] , [SEP]",non_morphemic,4.732082612760192,-1.673921030128862,1.6739210301289111
707,707,portería,portería##s,plur,3,artificial,0.0067902989685535,plural,plural,son,s,[MASK] portería##s [MASK],"[CLS] , [MASK] , porte , ##ría , ##s , [MASK] , [SEP]",non_morphemic,4.992260307666048,-1.5212636214025395,1.5212636214025557
709,709,despojo,despojo,sing,2,default,0.00132205884438,plural,plural,son,s,[MASK] despojo [MASK],"[CLS] , [MASK] , despo , ##jo , [MASK] , [SEP]",non_morphemic,6.628565026909307,2.388081592124948,-2.3880815921250025
711,711,despojo,despojos,plur,2,default,0.0144046135246753,plural,plural,son,s,[MASK] despojos [MASK],"[CLS] , [MASK] , despo , ##jos , [MASK] , [SEP]",non_morphemic,4.240206740054055,-2.423047038694129,2.423047038694139
713,713,despojo,despojo##s,plur,3,artificial,0.0125118214637041,plural,plural,son,s,[MASK] despojo##s [MASK],"[CLS] , [MASK] , despo , ##jo , ##s , [MASK] , [SEP]",non_morphemic,4.381081364486223,-1.9544305956945287,1.9544305956945853
715,715,gallego,gallego,sing,2,default,0.0004376319993752,plural,plural,son,s,[MASK] gallego [MASK],"[CLS] , [MASK] , galle , ##go , [MASK] , [SEP]",non_morphemic,7.734132184814951,2.4869933075187696,-2.4869933075189925
717,717,gallego,gallegos,plur,2,default,0.0055883005261421,plural,plural,son,s,[MASK] gallegos [MASK],"[CLS] , [MASK] , galle , ##gos , [MASK] , [SEP]",non_morphemic,5.187080058406826,-3.0221838251671755,3.022183825167217
719,719,gallego,gallego##s,plur,3,artificial,0.0074593229219317,plural,plural,son,s,[MASK] gallego##s [MASK],"[CLS] , [MASK] , galle , ##go , ##s , [MASK] , [SEP]",non_morphemic,4.898290630020664,-2.3156088999298152,2.3156088999299365
721,721,entrometido,entrometido,sing,2,default,0.0004255992826074,plural,plural,son,s,[MASK] entrometido [MASK],"[CLS] , [MASK] , entrome , ##tido , [MASK] , [SEP]",non_morphemic,7.762012305541089,3.0582724208449434,-3.0582724208450185
723,723,entrometido,entrometidos,plur,2,default,0.0107356701046228,plural,plural,son,s,[MASK] entrometidos [MASK],"[CLS] , [MASK] , entrome , ##tidos , [MASK] , [SEP]",non_morphemic,4.534183427184794,-2.143993792592066,2.143993792592072
725,725,entrometido,entrometido##s,plur,3,artificial,0.0101103326305747,plural,plural,son,s,[MASK] entrometido##s [MASK],"[CLS] , [MASK] , entrome , ##tido , ##s , [MASK] , [SEP]",non_morphemic,4.594197345346111,-1.8649034418852413,1.8649034418852548
727,727,riña,riña,sing,2,default,0.0005134375533089,plural,plural,son,s,[MASK] riña [MASK],"[CLS] , [MASK] , ri , ##ña , [MASK] , [SEP]",non_morphemic,7.574382145905247,2.692194491449981,-2.6921944914499787
729,729,riña,riñas,plur,2,default,0.0051914858631789,plural,plural,son,s,[MASK] riñas [MASK],"[CLS] , [MASK] , ri , ##ñas , [MASK] , [SEP]",non_morphemic,5.260735329295075,-1.8669524229932914,1.866952422993302
731,731,riña,riña##s,plur,3,artificial,0.0021542275790125,plural,plural,son,s,[MASK] riña##s [MASK],"[CLS] , [MASK] , ri , ##ña , ##s , [MASK] , [SEP]",non_morphemic,6.140323051691288,-1.4250244256800286,1.4250244256801592
733,733,madrileño,madrileño,sing,2,default,0.000342131301295,plural,plural,son,s,[MASK] madrileño [MASK],"[CLS] , [MASK] , madri , ##leño , [MASK] , [SEP]",non_morphemic,7.98031597266559,2.7757725274622675,-2.7757725274623026
735,735,madrileño,madrileños,plur,2,default,0.0067345080897212,plural,plural,son,s,[MASK] madrileños [MASK],"[CLS] , [MASK] , madri , ##leños , [MASK] , [SEP]",non_morphemic,5.000510509690518,-3.018438452541613,3.018438452541646
737,737,madrileño,madrileño##s,plur,3,artificial,0.0072159920819103,plural,plural,son,s,[MASK] madrileño##s [MASK],"[CLS] , [MASK] , madri , ##leño , ##s , [MASK] , [SEP]",non_morphemic,4.931455593518651,-2.6088863983933885,2.608886398393387
739,739,escapada,escapada,sing,2,default,0.0001236292446264,plural,plural,son,s,[MASK] escapada [MASK],"[CLS] , [MASK] , escapa , ##da , [MASK] , [SEP]",non_morphemic,8.998223433917193,2.878608704193903,-2.878608704194702
741,741,escapada,escapadas,plur,2,default,0.001438139588572,plural,plural,son,s,[MASK] escapadas [MASK],"[CLS] , [MASK] , escapa , ##das , [MASK] , [SEP]",non_morphemic,6.544404953064715,-2.012394411955958,2.01239441195608
743,743,escapada,escapada##s,plur,3,artificial,0.0032431052532047,plural,plural,son,s,[MASK] escapada##s [MASK],"[CLS] , [MASK] , escapa , ##da , ##s , [MASK] , [SEP]",non_morphemic,5.731223996678011,-1.5330061307199117,1.5330061307200156
745,745,derroche,derroche,sing,2,default,0.0011100837728008,plural,plural,son,s,[MASK] derroche [MASK],"[CLS] , [MASK] , derro , ##che , [MASK] , [SEP]",non_morphemic,6.803319795513918,1.9480456575454594,-1.9480456575455116
747,747,derroche,derroches,plur,2,default,0.0133132813498377,plural,plural,son,s,[MASK] derroches [MASK],"[CLS] , [MASK] , derro , ##ches , [MASK] , [SEP]",non_morphemic,4.318993144289296,-2.3667245106741417,2.3667245106742008
749,749,derroche,derroche##s,plur,3,artificial,0.0077112447470426,plural,plural,son,s,[MASK] derroche##s [MASK],"[CLS] , [MASK] , derro , ##che , ##s , [MASK] , [SEP]",non_morphemic,4.8650756586476405,-2.3591471078740245,2.3591471078741346
751,751,encarcelamiento,encarcelamiento,sing,2,default,0.001351014827378,plural,plural,son,s,[MASK] encarcelamiento [MASK],"[CLS] , [MASK] , encarcel , ##amiento , [MASK] , [SEP]",non_morphemic,6.606899244950983,1.7868895773942386,-1.7868895773942988
753,753,encarcelamiento,encarcelamientos,plur,2,default,0.0119426315650343,plural,plural,son,s,[MASK] encarcelamientos [MASK],"[CLS] , [MASK] , encarcel , ##amientos , [MASK] , [SEP]",non_morphemic,4.427640796220383,-2.4914832084337872,2.4914832084338485
755,755,encarcelamiento,encarcelamiento##s,plur,3,artificial,0.0076191890984773,plural,plural,son,s,[MASK] encarcelamiento##s [MASK],"[CLS] , [MASK] , encarcel , ##amiento , ##s , [MASK] , [SEP]",non_morphemic,4.877085332468984,-1.9909239325546206,1.9909239325546855
757,757,vestidura,vestidura,sing,2,default,0.0007434122962877,plural,plural,son,s,[MASK] vestidura [MASK],"[CLS] , [MASK] , vesti , ##dura , [MASK] , [SEP]",non_morphemic,7.204259759630283,3.007988937001871,-3.0079889370018864
759,759,vestidura,vestiduras,plur,2,default,0.0174354426562786,plural,plural,son,s,[MASK] vestiduras [MASK],"[CLS] , [MASK] , vesti , ##duras , [MASK] , [SEP]",non_morphemic,4.049250210230524,-2.720039900243303,2.7200399002433118
761,761,vestidura,vestidura##s,plur,3,artificial,0.0131267523393034,plural,plural,son,s,[MASK] vestidura##s [MASK],"[CLS] , [MASK] , vesti , ##dura , ##s , [MASK] , [SEP]",non_morphemic,4.333102967850345,-2.940056347646566,2.940056347646561
763,763,neurona,neurona,sing,2,default,0.0004209921753499,plural,plural,son,s,[MASK] neurona [MASK],"[CLS] , [MASK] , neuro , ##na , [MASK] , [SEP]",non_morphemic,7.772896310321677,2.59662813211332,-2.596628132113467
765,765,neurona,neuronas,plur,2,default,0.0082882288843393,plural,plural,son,s,[MASK] neuronas [MASK],"[CLS] , [MASK] , neuro , ##nas , [MASK] , [SEP]",non_morphemic,4.792918977492651,-1.93454548877214,1.9345454887722173
767,767,neurona,neurona##s,plur,3,artificial,0.0085923606529831,plural,plural,son,s,[MASK] neurona##s [MASK],"[CLS] , [MASK] , neuro , ##na , ##s , [MASK] , [SEP]",non_morphemic,4.7568817666562575,-1.7781024674507444,1.7781024674507941
769,769,tara,tara,sing,2,default,0.0002337061596335,plural,plural,son,s,[MASK] tara [MASK],"[CLS] , [MASK] , tar , ##a , [MASK] , [SEP]",non_morphemic,8.361445959755315,3.297932615100142,-3.2979326151004966
771,771,tara,taras,plur,2,default,0.0042565488256514,plural,plural,son,s,[MASK] taras [MASK],"[CLS] , [MASK] , tar , ##as , [MASK] , [SEP]",non_morphemic,5.459296581861031,-0.9715862953713765,0.9715862953714017
773,773,tara,tara##s,plur,3,artificial,0.0025757036637514,plural,plural,son,s,[MASK] tara##s [MASK],"[CLS] , [MASK] , tar , ##a , ##s , [MASK] , [SEP]",non_morphemic,5.96163251472089,-0.16679518591071574,0.16679518591070167
775,775,depredador,depredador,sing,2,default,0.0003240554360672,plural,plural,son,es,[MASK] depredador [MASK],"[CLS] , [MASK] , depre , ##dador , [MASK] , [SEP]",non_morphemic,8.034595957834608,2.3351474646377257,-2.3351474646379713
777,777,depredador,depredadores,plur,2,default,0.0071717831306159,plural,plural,son,es,[MASK] depredadores [MASK],"[CLS] , [MASK] , depre , ##dadores , [MASK] , [SEP]",non_morphemic,4.937600962037773,-2.615455221907662,2.615455221907662
779,779,depredador,depredador##es,plur,3,artificial,0.0064022517763078,plural,plural,son,es,[MASK] depredador##es [MASK],"[CLS] , [MASK] , depre , ##dador , ##es , [MASK] , [SEP]",non_morphemic,5.051105510449609,-2.088864335369113,2.0888643353691254
781,781,impulsor,impulsor,sing,2,default,0.0001882143697002,plural,plural,son,es,[MASK] impulsor [MASK],"[CLS] , [MASK] , impulso , ##r , [MASK] , [SEP]",non_morphemic,8.577928980378719,2.425356775530954,-2.425356775531408
783,783,impulsor,impulsores,plur,2,default,0.0033460373524576,plural,plural,son,es,[MASK] impulsores [MASK],"[CLS] , [MASK] , impulso , ##res , [MASK] , [SEP]",non_morphemic,5.699978513163125,-1.6326260770899603,1.632626077090008
785,785,impulsor,impulsor##es,plur,3,artificial,0.0048327655531466,plural,plural,son,es,[MASK] impulsor##es [MASK],"[CLS] , [MASK] , impulso , ##r , ##es , [MASK] , [SEP]",non_morphemic,5.332336396886838,-1.9104032383376168,1.9104032383377219
787,787,genetista,genetista,sing,2,default,0.0003475657722447,plural,plural,son,s,[MASK] genetista [MASK],"[CLS] , [MASK] , gene , ##tista , [MASK] , [SEP]",non_morphemic,7.964556638222596,2.722775884502223,-2.7227758845022265
789,789,genetista,genetistas,plur,2,default,0.0079081868752837,plural,plural,son,s,[MASK] genetistas [MASK],"[CLS] , [MASK] , gene , ##tistas , [MASK] , [SEP]",non_morphemic,4.839856742784071,-3.1950912473761113,3.195091247376181
791,791,genetista,genetista##s,plur,3,artificial,0.0093896305188536,plural,plural,son,s,[MASK] genetista##s [MASK],"[CLS] , [MASK] , gene , ##tista , ##s , [MASK] , [SEP]",non_morphemic,4.668149334901025,-1.0207458360320034,1.0207458360319994
793,793,biólogo,biólogo,sing,2,default,0.0001823465281631,plural,plural,son,s,[MASK] biólogo [MASK],"[CLS] , [MASK] , bi , ##ólogo , [MASK] , [SEP]",non_morphemic,8.609601680303067,2.7175307669870694,-2.7175307669874758
795,795,biólogo,biólogos,plur,2,default,0.010006221011281,plural,plural,son,s,[MASK] biólogos [MASK],"[CLS] , [MASK] , bi , ##ólogos , [MASK] , [SEP]",non_morphemic,4.604548278284681,-2.2132783446023794,2.213278344602401
797,797,biólogo,biólogo##s,plur,3,artificial,0.0041277236305177,plural,plural,son,s,[MASK] biólogo##s [MASK],"[CLS] , [MASK] , bi , ##ólogo , ##s , [MASK] , [SEP]",non_morphemic,5.490029203015607,-1.9318122254130952,1.931812225413122
799,799,ranura,ranura,sing,2,default,0.0006927567301318,plural,plural,son,s,[MASK] ranura [MASK],"[CLS] , [MASK] , ran , ##ura , [MASK] , [SEP]",non_morphemic,7.274831659173747,2.218092408670983,-2.2180924086709806
801,801,ranura,ranuras,plur,2,default,0.0064032934606075,plural,plural,son,s,[MASK] ranuras [MASK],"[CLS] , [MASK] , ran , ##uras , [MASK] , [SEP]",non_morphemic,5.050942817759414,-1.8923750251754923,1.8923750251755553
803,803,ranura,ranura##s,plur,3,artificial,0.0043532564304769,plural,plural,son,s,[MASK] ranura##s [MASK],"[CLS] , [MASK] , ran , ##ura , ##s , [MASK] , [SEP]",non_morphemic,5.436831109238951,-1.9674319828442846,1.9674319828443427
805,805,varilla,varilla,sing,2,default,0.0006391573697328,plural,plural,son,s,[MASK] varilla [MASK],"[CLS] , [MASK] , vari , ##lla , [MASK] , [SEP]",non_morphemic,7.355359858895157,2.4451966262693716,-2.4451966262694547
807,807,varilla,varillas,plur,2,default,0.0118422424420714,plural,plural,son,s,[MASK] varillas [MASK],"[CLS] , [MASK] , vari , ##llas , [MASK] , [SEP]",non_morphemic,4.436082272014108,-2.1773676500719032,2.1773676500719015
809,809,varilla,varilla##s,plur,3,artificial,0.0073652188293635,plural,plural,son,s,[MASK] varilla##s [MASK],"[CLS] , [MASK] , vari , ##lla , ##s , [MASK] , [SEP]",non_morphemic,4.910986517443279,-1.9751090133838645,1.9751090133839224
811,811,lámina,lámina,sing,2,default,0.0008503024000674,plural,plural,son,s,[MASK] lámina [MASK],"[CLS] , [MASK] , lá , ##mina , [MASK] , [SEP]",non_morphemic,7.069918506963964,3.220988311489982,-3.2209883114900353
813,813,lámina,láminas,plur,2,default,0.0136555591598153,plural,plural,son,s,[MASK] láminas [MASK],"[CLS] , [MASK] , lá , ##minas , [MASK] , [SEP]",non_morphemic,4.293608575805492,-1.6509374894551696,1.6509374894551807
815,815,lámina,lámina##s,plur,3,artificial,0.0211131833493709,plural,plural,son,s,[MASK] lámina##s [MASK],"[CLS] , [MASK] , lá , ##mina , ##s , [MASK] , [SEP]",non_morphemic,3.857857630320702,-2.164847847091536,2.1648478470915644
817,817,trazador,trazador,sing,2,default,0.0001939912035595,plural,plural,son,es,[MASK] trazador [MASK],"[CLS] , [MASK] , trazado , ##r , [MASK] , [SEP]",non_morphemic,8.547697742405429,2.7047867753944157,-2.7047867753947146
819,819,trazador,trazadores,plur,2,default,0.0046099214814603,plural,plural,son,es,[MASK] trazadores [MASK],"[CLS] , [MASK] , trazado , ##res , [MASK] , [SEP]",non_morphemic,5.379544454339816,-1.829398685550478,1.8293986855504765
821,821,trazador,trazador##es,plur,3,artificial,0.0031183813698589,plural,plural,son,es,[MASK] trazador##es [MASK],"[CLS] , [MASK] , trazado , ##r , ##es , [MASK] , [SEP]",non_morphemic,5.770441203491593,-1.3595676165507058,1.3595676165507542
823,823,arsenal,arsenal,sing,2,default,0.0012855847598984,plural,plural,son,es,[MASK] arsenal [MASK],"[CLS] , [MASK] , arsen , ##al , [MASK] , [SEP]",non_morphemic,6.656541598077257,2.2501344590774215,-2.2501344590774823
825,825,arsenal,arsenales,plur,2,default,0.0056194588541984,plural,plural,son,es,[MASK] arsenales [MASK],"[CLS] , [MASK] , arsen , ##ales , [MASK] , [SEP]",non_morphemic,5.18151990900118,-2.0990843915044373,2.0990843915044683
827,827,arsenal,arsenal##es,plur,3,artificial,0.0111658787354826,plural,plural,son,es,[MASK] arsenal##es [MASK],"[CLS] , [MASK] , arsen , ##al , ##es , [MASK] , [SEP]",non_morphemic,4.49489269231032,-2.401084930796589,2.401084930796593
829,829,feto,feto,sing,2,default,0.0009939515730366,plural,plural,son,s,[MASK] feto [MASK],"[CLS] , [MASK] , fe , ##to , [MASK] , [SEP]",non_morphemic,6.913822071773586,2.1427459227555588,-2.142745922755559
831,831,feto,fetos,plur,2,default,0.0079255625605583,plural,plural,son,s,[MASK] fetos [MASK],"[CLS] , [MASK] , fe , ##tos , [MASK] , [SEP]",non_morphemic,4.837661976178739,-0.9697327346771889,0.9697327346772042
